#{"t_start": 1560197455.3609908, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-220.0,30,83.137974
-260.0,12,159.975704
840.0,40,237.761114
310.0,40,317.204201
500.0,40,401.495164
180.0,40,485.056313
-240.0,14,559.028882
320.0,41,638.676688
-110.0,38,716.075353
680.0,40,795.928149
40.0,40,878.61408
190.0,41,959.264067
320.0,20,998.321672
-150.0,20,1062.985933
-10.0,41,1137.627627
230.0,40,1221.215051
-180.0,28,1287.596752
710.0,40,1368.548552
-210.0,18,1436.910079
310.0,40,1514.583163
-100.0,30,1590.254451
300.0,41,1680.257202
520.0,40,1760.695984
-260.0,12,1812.552006
210.0,28,1870.172912
720.0,40,1949.406156
570.0,40,2023.561228
-130.0,26,2098.567824
290.0,40,2180.801485
290.0,40,2257.314525
410.0,40,2338.399487
380.0,40,2416.379557
1580.0,34,2490.373094
690.0,40,2564.497505
350.0,40,2644.907643
630.0,40,2726.48446
-60.0,40,2805.615937
-240.0,36,2883.401976
-50.0,30,2945.924482
-20.0,40,3029.930316
-80.0,32,3115.65258
140.0,40,3203.271797
570.0,41,3284.135236
1340.0,40,3364.060288
270.0,40,3444.289225
1610.0,32,3517.104099
